* Measurement data measured by REW V5.20.13
* Source: ASIO MOTU Audio, Mic/Line 1
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Jun 3, 2023 4:38:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jun 3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
6400.000000	76.829	-18.0121
6500.000000	76.499	-15.1616
6600.000000	76.220	-12.3199
6700.000000	75.990	-9.5065
6800.000000	75.806	-6.7373
6900.000000	75.667	-4.0264
7000.000000	75.570	-1.3856
7100.000000	75.518	1.1687
7200.000000	75.508	3.6051
7300.000000	75.541	5.8827
7400.000000	75.610	7.9696
7500.000000	75.710	9.8485
7620.000000	75.867	11.8112
7750.000000	76.073	13.5511
7880.000000	76.309	14.8621
8000.000000	76.543	15.6735
8120.000000	76.784	16.0885
8250.000000	77.044	16.0800
8380.000000	77.287	15.5994
8500.000000	77.485	14.7648
8620.000000	77.648	13.6058
8750.000000	77.779	12.0624
8850.000000	77.844	10.7294
9000.000000	77.888	8.5881
9120.000000	77.881	6.8135
9250.000000	77.841	4.8618
9380.000000	77.774	2.8712
9500.000000	77.695	0.9581
9620.000000	77.600	-1.0894
9750.000000	77.476	-3.5403
9880.000000	77.316	-6.3094
10000.000000	77.121	-9.1827
10150.000000	76.785	-13.1680
10300.000000	76.313	-17.4226
10440.000000	75.728	-21.3665
10600.000000	74.878	-25.4377
10750.000000	73.916	-28.4663
10900.000000	72.821	-30.4778
11060.000000	71.549	-31.3845
11200.000000	70.386	-31.1449
11380.000000	68.869	-29.5559
11500.000000	67.869	-27.8015
11720.000000	66.098	-23.4115
11800.000000	65.480	-21.5042
12060.000000	63.594	-14.4359
12200.000000	62.658	-10.2007
12410.000000	61.359	-3.4456
12500.000000	60.840	-0.4358
12650.000000	60.020	4.6988
12800.000000	59.257	9.9539
13150.000000	57.675	22.5721
13200.000000	57.471	24.4070
13400.000000	56.715	31.7953
13600.000000	56.053	39.2004
13800.000000	55.484	46.5295
14000.000000	54.996	53.7222
14300.000000	54.397	64.2782
14500.000000	54.086	71.1863
14750.000000	53.803	79.6191
15000.000000	53.639	87.8010
15250.000000	53.611	95.6194
15500.000000	53.705	102.6458
15750.000000	53.830	108.7286
16000.000000	53.944	114.2229
16250.000000	54.057	119.2671
16500.000000	54.149	123.7631
16750.000000	54.168	127.8284
17000.000000	54.096	131.8902
17250.000000	53.981	136.1882
17500.000000	53.853	140.5895
17750.000000	53.708	145.0481
18000.000000	53.552	149.6139
18250.000000	53.404	154.2418
18500.000000	53.278	158.7626
18750.000000	53.168	162.9392
19000.000000	53.045	166.5469
19250.000000	52.872	169.4692
19500.000000	52.627	171.7369
19750.000000	52.349	173.4007
